name;description;code;user_id;supplier_id;category_id
 Baterias De 180 Moura;;1;1.0;1.0;3
102 BotiquÇðn Para Primeros Auxilios ;;2;1.0;1.0;3
"Abrazadera 1/2"" Nuevas ";;3;1.0;1.0;3
"Abrazaderas 1/2"" Usadas ";;4;1.0;1.0;3
Absorbente 50X50;;5;1.0;1.0;3
Absorbentes ;;6;1.0;1.0;3
Absorbentes  50 Cm X 50 Cm X 100 Unidades ;;7;1.0;1.0;3
Absorbentes X 1,00 X 1,00 M X 100 Unidades;;8;1.0;1.0;3
Aceite 15 W 40 X 20 L;;9;1.0;1.0;3
Aceite 15W 40 50 Litros;;10;1.0;1.0;3
Aceite 80 90 X 30 L;;11;1.0;1.0;3
Aceite 80 W 90 X 20 Litros;;12;1.0;1.0;3
Aceite Compresor X 10 Litros;;13;1.0;1.0;3
Aceite Compresor X 3 Litros;;14;1.0;1.0;3
Aceite De Transmision 40 Litros;;15;1.0;1.0;3
Aceite Hidraulico  100 Litros ;;16;1.0;1.0;3
Aceite Hidraulico  X 20 Litros ;;17;1.0;1.0;3
Aceite Hidraulico 19 X 20 Litros;;18;1.0;1.0;3
Aceite Hidraulico T-68 X 20 Litros;;19;1.0;1.0;3
Aceite Hidraulico X 20 L;;20;1.0;1.0;3
Aceite HidrÇ­ulico  X 20 Litros ;;21;1.0;1.0;3
Aceite HidrÇ­ulico X 20 Litros;;22;1.0;1.0;3
Aceite HidrÇ­ulico X 70 L;;23;1.0;1.0;3
Aceite Para Motor 15 W 40 X 20 Litros ;;24;1.0;1.0;3
Aceite W 40 En Aerosol Para Cadena.;;25;1.0;1.0;3
"Acople 3 """;;26;1.0;1.0;3
Acople Rapido 1/2;;27;1.0;1.0;3
Acoples Para Chapa 1/2;;28;1.0;1.0;3
AcÇ¸ite 15 W 40 X 20 L;;29;1.0;1.0;3
"Adaptador Api-Regular De 2"" 1/2, Box X Hq Box";;30;1.0;1.0;3
Adaptador De H A Pq;;31;1.0;1.0;3
Adaptador Hq Rosca 5 1/2;;32;1.0;1.0;3
Afloja Todo ;;33;1.0;1.0;3
Afojatodo W80;;34;1.0;1.0;3
Alambre;;35;1.0;1.0;3
Alambre 2 Mm;;36;1.0;1.0;3
Alambre Del 14;;37;1.0;1.0;3
Alambre Del 16;;38;1.0;1.0;3
Alambre Por Rollo;;39;1.0;1.0;3
Alcohol En Gel X 300 Ml;;40;1.0;1.0;3
Alcohol En Gel X 750 Ml;;41;1.0;1.0;3
Alternador De Motor Deus;;42;1.0;1.0;3
Amoladora Bosch Chica;;43;1.0;1.0;3
Amoladora Grande Lusqtoff;;44;1.0;1.0;3
Anillo De Bronce Para Chack;;45;1.0;1.0;3
Anillo Estabilizador;;46;1.0;1.0;3
Anillos Centralizador;;47;1.0;1.0;3
Anillos De Tope Para Barril;;48;1.0;1.0;3
Anillos Hq3;;49;1.0;1.0;3
Antilatigo ;;50;1.0;1.0;3
Antilatigos;;51;1.0;1.0;3
Aragan Con Palos;;52;1.0;1.0;3
AraÇñas De Metal;;53;1.0;1.0;3
AraÇñas Hq3  Plastico ;;54;1.0;1.0;3
Arco Para Cierra ;;55;1.0;1.0;3
Arnes Con Cabo De Vida Doble Nuevo 3M;;56;1.0;1.0;3
Arnes De Seguridad 3M;;57;1.0;1.0;3
Arranque;;58;1.0;1.0;3
Arranque ;;59;1.0;1.0;3
Arranque De 24 Volt;;60;1.0;1.0;3
Arranque Iveco 24 V;;61;1.0;1.0;3
Arranque Pa Cs 1500;;62;1.0;1.0;3
Asador ;;63;1.0;1.0;3
Asiento De Lf70;;64;1.0;1.0;3
Auxilio 17;;65;1.0;1.0;3
Auxilio De Camion Iveco;;66;1.0;1.0;3
Auxilio R17 (De Camioneta Af362Uf);;67;1.0;1.0;3
Azadoncon Cabo;;68;1.0;1.0;3
Azucar X 1 Kg;;69;1.0;1.0;3
AzÇ§car ;;70;1.0;1.0;3
Bandeja De ConteciÇün ;;71;1.0;1.0;3
Bandeja De Contencion;;72;1.0;1.0;3
